Date,Time,Epoch,ARG C,ARG V,Euro C,Euro V,Real C,Real V,USD C,USD V
24-02-18,18:38:11,1519508291,1,1.75,33.6,37.2,7.8,9.5,27.75,29
26-02-18,17:11:53,1519675913,1,1.7,33.5,37,7.8,9.4,27.7,29
27-02-18,19:46:42,1519771602,1,1.7,33.3,36.8,7.8,9.4,27.7,29
01-03-18,20:12:05,1519945925.153022,1.0,1.7,33.3,36.9,7.8,9.4,27.75,29.05
03-03-18,14:07:38,1520096858.31389,1.0,1.7,33.6,37.1,7.8,9.4,27.8,29.1
06-03-18,18:40:33,1520372433.081382,1.0,1.7,33.9,37.2,8.0,9.6,27.85,28.9
09-03-18,15:36:43,1520620603.67298,1.0,1.7,33.8,37.1,8.0,9.6,27.9,29.0
03-07-18,14:33:50,1530639230.113245,0.7,1.6,35.1,39.35,7.2,9.0,30.6,32.2
06-07-18,13:57:05,1530896225.246819,0.8,1.5,35.55,39.8,7.4,8.85,30.7,32.3
